condition,dose,qadd_pause_ac_level_dbfs_median,qadd_pause_level_iqr_db,qadd_speech_pause_level_contrast_db,qadd_pause_spectral_flatness,qadd_mains_hum_comb_score_db
gain,-12.0,-62.030395978924886,0.3928214710216693,30.095349772956848,0.565074803685425,3.113407206797064
gain,-6.0,-56.030395978924886,0.3928214710216693,30.095349772956848,0.565074803685425,3.1134072067970635
gain,0.0,-50.030395978924886,0.3928214710216693,30.095349772956848,0.5650748036854234,3.1134072067970644
gain,6.0,-44.030395978924886,0.3928214710216693,30.095349772956844,0.5650748036854253,3.1134072067970644
gain,12.0,-38.030395978924886,0.3928214710216693,30.095349772956848,0.5650748036854241,3.1134072067970653
polarity,0.0,-50.030395978924886,0.3928214710216693,30.095349772956848,0.5650748036854234,3.1134072067970644
dc_offset,0.0,-50.030395978924886,0.3928214710216693,30.095349772956848,0.5650748036854234,3.1134072067970666
time_shift,0.5,-50.030395978924886,0.3928214710216693,30.095349772956848,0.5650748036854234,3.1134072067970644
