control,category,score_db,supported_harmonics,null_p95_db,excess_db,joint_above_null,flatness,pause_level_dbfs,pause_iqr_db,contrast_db
low_noise_reference,reference,0.9057303904251089,0.0,2.923340418924828,-2.0176100284997194,False,0.5624903824313414,-74.9947767915835,0.3880567036249829,55.056782891886535
white,noise,0.8005566961377348,0.0,2.923340418924828,-2.1227837227870934,False,0.5588740226123798,-34.985638763263964,0.3557137381462212,15.14988395752627
pink,noise,0.8999966028956118,0.0,2.923340418924828,-2.0233438160292163,False,0.3098626916875048,-36.67876826916536,1.2508281392028664,16.77455496268879
brown,noise,0.9369995240882094,0.0,2.923340418924828,-1.9863408948366188,False,0.040513087737809136,-47.43633632041687,4.720939565900721,27.487872174256115
breath_like,generic_additive_source,0.9071555489081689,0.5,2.923340418924828,-2.0161848700166596,False,0.007409463778373665,-36.80087476694345,7.457185621801205,16.86288086724648
competing_speech_like,generic_additive_source,0.6695925831749664,0.0,2.923340418924828,-2.253747835749862,False,6.737430814321348e-05,-34.17455824248873,4.225128713568907,14.236564342791759
am_noise,noise,1.063679011382459,0.0,2.923340418924828,-1.8596614075423692,False,0.5551200983525255,-43.73902669164026,21.71154145886662,23.843061467885647
single_47hz,single_tone,1.578154683906003,1.0,2.923340418924828,-1.3451857350188252,False,0.560238330300801,-30.199086562684798,0.08463091649342758,10.261092662987828
single_50hz,single_tone,1.4794794553511714,1.0,2.923340418924828,-1.4438609635736568,False,0.5513005218929814,-30.41004444993015,0.0032592626781777767,10.472050550233181
single_53hz,single_tone,2.0220947250068653,1.0,2.923340418924828,-0.9012456939179629,False,0.5518534894645182,-30.090688867523838,0.5614999048707112,10.152694967826868
single_57hz,single_tone,1.9763087694337014,1.0,2.923340418924828,-0.9470316494911268,False,0.5369222807570961,-30.075372620664616,0.6984380060541326,10.137378720967646
single_60hz,single_tone,1.9766821199353986,1.0,2.923340418924828,-0.9466582989894297,False,0.5624903824296481,-29.929026477146486,0.48296322127484714,9.991032577449516
single_63hz,single_tone,2.036233546276605,1.0,2.923340418924828,-0.8871068726482232,False,0.4228403409782304,-30.031717070341237,0.3459741025341714,10.093723170644267
single_100hz,single_tone,0.9057303901492115,0.0,2.923340418924828,-2.017610028775617,False,1.5938008909793617e-05,-30.000277385484402,0.0033578033838352894,10.062283485787432
single_120hz,single_tone,2.832820934064161,1.0,2.923340418924828,-0.09051948486066719,False,1.5996905320562553e-05,-29.99304594055921,0.1693618246242643,10.05505204086224
single_180hz,single_tone,1.864065581402273,1.0,2.923340418924828,-1.0592748375225551,False,1.5929976210008225e-05,-30.028267954424365,0.07363467579563121,10.090274054727395
single_437hz,single_tone,0.9058896812839244,0.0,2.923340418924828,-2.0174507376409037,False,1.688189378130451e-05,-29.998052399227205,0.0481882850263915,10.060058499530236
comb_47hz,harmonic_comb,0.1790314393302928,1.0,2.923340418924828,-2.7443089795945355,False,8.12887964584504e-05,-32.10422864830197,1.6491024035138295,12.166234748605
comb_50hz,harmonic_comb,66.29722654888053,4.0,2.923340418924828,63.3738861299557,True,7.98875489078836e-05,-32.33272869402456,0.00445136481948083,12.39473479432759
comb_53hz,harmonic_comb,0.7980040370951424,1.0,2.923340418924828,-2.125336381829686,False,8.216428479257632e-05,-32.45219825435963,1.5246285582318535,12.51420435466266
comb_57hz,harmonic_comb,0.5905887550492032,1.0,2.923340418924828,-2.332751663875625,False,8.2281974765051e-05,-32.16589519860885,1.1787580501622266,12.227901298911881
comb_60hz,harmonic_comb,66.63277926124778,4.0,2.923340418924828,63.709438842322946,True,7.710718532563492e-05,-31.76795834695625,0.8871876585656473,11.829964447259279
comb_63hz,harmonic_comb,-1.5889262139724147,1.0,2.923340418924828,-4.5122666328972425,False,8.325966520582342e-05,-31.921617022972022,0.42246721960294664,11.983623123275052
voiced_like_f0_60,voiced_like,50.00442969291146,4.0,2.923340418924828,47.08108927398663,True,8.410317304666999e-05,-31.925503631808297,0.7520257276158233,11.987509732111327
voiced_like_f0_80,voiced_like,-2.312574091680651,1.0,2.923340418924828,-5.235914510605479,False,3.1957401828605836e-05,-32.000172235231275,0.8007985777954332,12.062178335534306
voiced_like_f0_100,voiced_like,24.787597500234007,2.0,2.923340418924828,21.86425708130918,False,3.040130680582814e-05,-32.008397194321574,0.022495428208284096,12.070403294624604
voiced_like_f0_120,voiced_like,26.006630614760653,2.0,2.923340418924828,23.083290195835826,False,3.0626912632177114e-05,-32.12850223792048,0.5403050908308771,12.190508338223509
voiced_like_f0_150,voiced_like,2.7944053440729473,1.0,2.923340418924828,-0.12893507485188094,False,3.105538368303809e-05,-32.055072691374875,0.5699435264068917,12.117078791677905
voiced_like_f0_200,voiced_like,0.5859234708198836,1.0,2.923340418924828,-2.3374169481049445,False,3.054617285886944e-05,-32.00303213478158,0.0156093606722294,12.065038235084607
